Nickname,bandgap(eV),c_smiles,newSMILES
PBDTT-FDPP,1.55,CCCCC(CC)Cc1ccc(-c2c3cc(-c4ccc(C5=C6C(=O)N(CC(CC)CCCC)C(c7ccc(C)o7)=C6C(=O)N5CC(CC)CCCC)o4)sc3c(-c3ccc(CC(CC)CCCC)s3)c3cc(C)sc23)s1,
PBDTT-DFBO,1.81,CCCCCCCCOc1c(OCCCCCCCC)c(-c2ccc(-c3cc4c(-c5ccc(CC(CC)CCCC)s5)c5sc(C)cc5c(-c5ccc(CC(CC)CCCC)s5)c4s3)o2)c2nonc2c1-c1ccc(C)o1,
PBDTTTBS,1.69,CCCCCCCCOc1c(OCCCCCCCC)c(-c2ccc(-c3cc4c(-c5ccc(CC(CC)CCCC)s5)c5sc(C)cc5c(-c5ccc(CC(CC)CCCC)s5)c4s3)s2)c2n[se]nc2c1-c1ccc(C)s1,
PBDTSSBS,1.56,CCCCCCCCOc1c(OCCCCCCCC)c(-c2ccc(-c3cc4c(-c5ccc(CC(CC)CCCC)[se]5)c5sc(C)cc5c(-c5ccc(CC(CC)CCCC)[se]5)c4s3)[se]2)c2n[se]nc2c1-c1ccc(C)[se]1,
PTBFTDTBT,1.63,CCCCCCCCOc1c(OCCCCCCCC)c(-c2ccc(-c3cc4c(-c5ccc(CC(CC)CCCC)s5)c5sc(C)cc5c(-c5ccc(CC(CC)CCCC)s5)c4o3)s2)c2nsnc2c1-c1ccc(C)s1,
PBDTSTBS,1.69,CCCCCCCCOc1c(OCCCCCCCC)c(-c2ccc(-c3cc4c(-c5ccc(CC(CC)CCCC)[se]5)c5sc(C)cc5c(-c5ccc(CC(CC)CCCC)[se]5)c4s3)s2)c2n[se]nc2c1-c1ccc(C)s1,
PBT-3F,1.64,CCCCCCCCC(CCCCCC)COC(=O)c1sc2c(-c3ccc(-c4cc5c(-c6cc(F)c(CC(CC)CCCC)s6)c6sc(C)cc6c(-c6cc(F)c(CC(CC)CCCC)s6)c5s4)s3)sc(-c3ccc(C)s3)c2c1F,
PBDTTDTBT,1.66,CCCCCCCCOc1c(OCCCCCCCC)c(-c2ccc(-c3cc4c(-c5ccc(CC(CC)CCCC)s5)c5oc(C)cc5c(-c5ccc(CC(CC)CCCC)s5)c4o3)s2)c2nsnc2c1-c1ccc(C)s1,
PBDTTDTBO,1.69,CCCCCCCCOc1c(OCCCCCCCC)c(-c2ccc(-c3cc4c(-c5ccc(CC(CC)CCCC)s5)c5oc(C)cc5c(-c5ccc(CC(CC)CCCC)s5)c4o3)s2)c2nonc2c1-c1ccc(C)s1,
PBDTFBO,1.78,CCCCCCCCOc1c(OCCCCCCCC)c(-c2ccc(-c3cc4c(-c5ccc(CC(CC)CCCC)o5)c5sc(C)cc5c(-c5ccc(CC(CC)CCCC)o5)c4s3)s2)c2nonc2c1-c1ccc(C)s1,
PBDT?TBT,1.79,CCCCC(CC)COc1c(OCC(CC)CCCC)c(-c2ccc(-c3cc4c(-c5ccc(CC(CC)CCCC)s5)c5sc(C)cc5c(-c5ccc(CC(CC)CCCC)s5)c4s3)s2)c2nsnc2c1-c1ccc(C)s1,
PBDTSTBO,1.78,CCCCCCCCOc1c(OCCCCCCCC)c(-c2ccc(-c3cc4c(-c5ccc(CC(CC)CCCC)[se]5)c5sc(C)cc5c(-c5ccc(CC(CC)CCCC)[se]5)c4s3)s2)c2nsnc2c1-c1ccc(C)s1,
PBDTTTBO,1.69,CCCCCCCCOc1c(OCCCCCCCC)c(-c2ccc(-c3cc4c(-c5ccc(CC(CC)CCCC)s5)c5sc(C)cc5c(-c5ccc(CC(CC)CCCC)s5)c4s3)[se]2)c2nsnc2c1-c1ccc(C)[se]1,
PBDTSSBO,1.69,CCCCCCCCOc1c(OCCCCCCCC)c(-c2ccc(-c3cc4c(-c5ccc(CC(CC)CCCC)[se]5)c5sc(C)cc5c(-c5ccc(CC(CC)CCCC)[se]5)c4s3)[se]2)c2nsnc2c1-c1ccc(C)[se]1,
PBDTDTTT-S-T,1.59,CCCCCCCCC(CCCCCC)CS(=O)(=O)c1cc2c(-c3ccc(C)s3)sc(-c3ccc(-c4cc5c(-c6ccc(C[C@@H](CC)CCCC)s6)c6sc(C)cc6c(-c6ccc(C[C@H](CC)CCCC)s6)c5s4)s3)c2s1,
PBDTTBO,1.78,CCCCCCCCOc1c(OCCCCCCCC)c(-c2ccc(-c3cc4c(-c5ccc(CC(CC)CCCC)s5)c5sc(C)cc5c(-c5ccc(CC(CC)CCCC)s5)c4s3)s2)c2nonc2c1-c1ccc(C)s1,
PBT-1F,1.65,CCCCCCCCC(CCCCCC)COC(=O)c1sc2c(-c3ccc(-c4cc5c(-c6ccc(CC(CC)CCCC)s6)c6sc(C)cc6c(-c6ccc(CC(CC)CCCC)s6)c5s4)s3)sc(-c3ccc(C)s3)c2c1F,
PBDTF-DFBO,1.77,CCCCCCCCOc1c(OCCCCCCCC)c(-c2ccc(-c3cc4c(-c5ccc(CC(CC)CCCC)o5)c5sc(C)cc5c(-c5ccc(CC(CC)CCCC)o5)c4s3)o2)c2nonc2c1-c1ccc(C)o1,
PBDTTSBS,1.56,CCCCCCCCOc1c(OCCCCCCCC)c(-c2ccc(-c3cc4c(-c5ccc(CC(CC)CCCC)s5)c5sc(C)cc5c(-c5ccc(CC(CC)CCCC)s5)c4s3)[se]2)c2n[se]nc2c1-c1ccc(C)[se]1,
PBT-2F,1.64,CCCCCCCCC(CCCCCC)COC(=O)c1cc2c(-c3ccc(C)s3)sc(-c3ccc(-c4cc5c(-c6cc(F)c(CC(CC)CCCC)s6)c6sc(C)cc6c(-c6cc(F)c(CC(CC)CCCC)s6)c5s4)s3)c2s1,
PDTPO-BDTT,1.98,CCCCCCCCCC[C@@H](CCCCCCCC)Cn1c(=O)c2cc(-c3cc4c(-c5ccc(C[C@H](CC)CCCC)s5)c5sc(C)cc5c(-c5ccc(CC(CC)CCCC)s5)c4s3)sc2c2sc(C)cc21,
PIDTT-TT,2.14,CCCCCCc1ccc(C2(c3ccc(CCCCCC)cc3)c3cc4c(cc3-c3sc5cc(C)sc5c32)C(c2ccc(CCCCCC)cc2)(c2ccc(CCCCCC)cc2)c2c-4sc3cc(-c4cc5sc(C)cc5s4)sc23)cc1,
PrzTAZ,1.93,CCCCCCC(CCCC)CCc1c2cc(-c3ccc(-c4nnc(-c5ccc(C)s5)c5nn(CC(CCCC)CCCCCC)nc45)s3)sc2c(CCC(CCCC)CCCCCC)c2cc(C)sc12,
PTP36-DBT,1.85,CCCCCCCCOc1c(OCCCCCCCC)c(-c2ccc(-c3ccc4c5ccc(C)cc5c5c(C(=O)OCC(CC)CCCC)sc(C(=O)OCC(CC)CCCC)c5c4c3)s2)c2nsnc2c1-c1ccc(C)s1,
PTP27-DBT,1.85,CCCCCCCCOc1c(OCCCCCCCC)c(-c2ccc(-c3ccc4c(c3)c3ccc(C)cc3c3c(C(=O)OCC(CC)CCCC)sc(C(=O)OCC(CC)CCCC)c43)s2)c2nsnc2c1-c1ccc(C)s1,
PBDTS-DPP,1.45,CCCCC(CC)CSc1ccc(-c2c3cc(-c4ccc(C5=C6C(=O)N(CC(CC)CCCC)C(c7ccc(C)s7)=C6C(=O)N5CC(CC)CCCC)s4)sc3c(-c3ccc(SCC(CC)CCCC)s3)c3cc(C)sc23)s1,
PBDT-BTC,1.96,CCCCCCCCCCCCc1c(C)sc(-c2sc(-c3cc4c(OCC(CC)CCCC)c5sc(C)cc5c(OCC(CC)CCCC)c4s3)c(CCCCCCCCCCCC)c2C#N)c1C#N,
PTTSPD-C8C8 (P4),1.79,CCCCCCCCCCCCc1cc(-c2ccc(-c3cc(CCCCCCCCCCCC)c(-c4[se]c(C)c5c4C(=O)N(C(CCCCCCCC)CCCCCCCC)C5=O)s3)s2)sc1C,
PTTFPD-C8C8 (P5),1.93,CCCCCCCCCCCCc1cc(-c2ccc(-c3cc(CCCCCCCCCCCC)c(-c4oc(C)c5c4C(=O)N(C(CCCCCCCC)CCCCCCCC)C5=O)s3)s2)sc1C,
PTSTPD-C8C8 (P7),1.78,CCCCCCCCCCCCc1cc(-c2ccc(-c3cc(CCCCCCCCCCCC)c(-c4sc(C)c5c4C(=O)N(C(CCCCCCCC)CCCCCCCC)C5=O)s3)[se]2)sc1C,
PTTTPD,1.8,CCCCCCCCCCCCc1cc(-c2ccc(-c3cc(CCCCCCCCCCCC)c(-c4sc(C)c5c4C(=O)N(C(CCCCCCCC)CCCCCCCC)C5=O)s3)s2)sc1C,
PThTD1,1.82,CCCCCCCCCCC(CCCCCCCC)Cn1c(=O)c2c3sc4c5sc(-c6ccc(C)s6)cc5n(CC(CCCCCCCC)CCCCCCCCCC)c(=O)c4c3sc2c2sc(C)cc21,
P3SDTDPP,1.25,CCCCCC(CC)CCc1cc(C)[se]c1-c1ccc(-c2[se]c(-c3ccc(C4=C5C(=O)N(CC(CC)CCCC)C(c6ccc(C)s6)=C5C(=O)N4CC(CC)CCCC)s3)cc2CCC(CC)CCCCC)[se]1,
PBDTO-fDTBO,1.99,CCCCCCCCCCC(CCCCCCCC)COc1c2cc(-c3cc4c5nonc5c5cc(C)sc5c4s3)sc2c(OCC(CCCCCCCC)CCCCCCCCCC)c2cc(C)sc12,
PSeTD1,1.75,CCCCCCCCCCC(CCCCCCCC)Cn1c(=O)c2c3sc4c5sc(-c6ccc(C)[se]6)cc5n(CC(CCCCCCCC)CCCCCCCCCC)c(=O)c4c3sc2c2sc(C)cc21,
PT-ID1,1.58,CCCCCCCCCCC(CCCCCCCC)CN1C(=O)/C(=C2/C(=O)N(CC(CCCCCCCC)CCCCCCCCCC)c3cc(-c4ccc(C)s4)ccc32)c2ccc(C)cc21,
PBDPBT-biT,1.85,CCCCCCCCOc1c(OCCCCCCCC)c(-c2ccc(-c3ccc(-c4cc5c(OCC(CC)CCCC)c(OCC(CC)CCCC)c6cc(C)sc6c5s4)s3)s2)c2nsnc2c1-c1ccc(-c2ccc(C)s2)s1,
PBDTOT-BT,1.56,CCCCCCc1cc(-c2ccc(-c3cc(CCCCCC)c(-c4cc5c(-c6sc(CC(CC)CCCC)c(OC)c6OC)c6sc(C)cc6c(-c6sc(CC(CC)CCCC)c(OC)c6OC)c5s4)s3)c3nsnc23)sc1C,
PBDTOT-FBT,1.79,CCCCCCc1cc(-c2c(F)c(F)c(-c3cc(CCCCCC)c(-c4cc5c(-c6sc(CC(CC)CCCC)c(OC)c6OC)c6sc(C)cc6c(-c6sc(CC(CC)CCCC)c(OC)c6OC)c5s4)s3)c3nsnc23)sc1C,
PTSTPD-C8C8 (P8),1.76,CCCCCCCCCCCCc1cc(-c2ccc(-c3cc(CCCCCCCCCCCC)c(-c4[se]c(C)c5c4C(=O)N(C(CCCCCCCC)CCCCCCCC)C5=O)s3)[se]2)sc1C,
P3TDTDPP,1.27,CCCCCC(CC)CCc1cc(C)sc1-c1ccc(-c2sc(-c3ccc(C4=C5C(=O)N(CC(CC)CCCC)C(c6ccc(C)s6)=C5C(=O)N4CC(CC)CCCC)s3)cc2CCC(CC)CCCCC)s1,
P1,1.4,CCCCCCCCCCC(CCCCCCCC)Cn1c2cc3c4sc(-c5ccc(C)c6nsnc56)cc4n(CC(CCCCCCCC)CCCCCCCCCC)c3cc2c2sc(C)cc21,
PIDTT-DFBT,1.78,CCCCCCc1ccc(C2(c3ccc(CCCCCC)cc3)c3cc4c(cc3-c3sc5cc(C)sc5c32)C(c2ccc(CCCCCC)cc2)(c2ccc(CCCCCC)cc2)c2c-4sc3cc(-c4c(F)c(F)c(C)c5nsnc45)sc23)cc1,
P2,1.5,CCCCCCCCCCC(CCCCCCCC)Cn1c2cc3c4sc(-c5c(F)c(F)c(C)c6nsnc56)cc4n(CC(CCCCCCCC)CCCCCCCCCC)c3cc2c2sc(C)cc21,
PBDTBDD (PM6),1.8,CCCCC(CC)Cc1cc(-c2c3cc(-c4ccc(-c5sc(-c6ccc(C)s6)c6c5C(=O)c5c(C[C@H](CC)CCCC)sc(C[C@H](CC)CCCC)c5C6=O)s4)sc3c(-c3cc(CC(CC)CCCC)c(F)s3)c3cc(C)sc23)sc1F,
PBDT-O1,1.82,CCCCCCCCc1ccc(-c2c3cc(-c4ccc(-c5sc(-c6ccc(C)s6)c6c5C(=O)c5c(C[C@H](CC)CCCC)oc(C[C@H](CC)CCCC)c5C6=O)s4)sc3c(-c3ccc(CCCCCCCC)s3)c3cc(C)sc23)s1,
PBT-T,1.67,CCCCCCCCC(CCCCCC)CCOC(=O)c1sc2c(-c3ccc(C)s3)sc(-c3ccc(-c4cc5c(-c6ccc(CC(CC)CCCC)s6)c6sc(C)cc6c(-c6ccc(CC(CC)CCCC)s6)c5s4)s3)c2c1F,
PBnDT-HTAZ,1.98,CCCCCCC(CCCC)CCc1c2cc(-c3ccc(-c4ccc(-c5ccc(C)s5)c5nn(CC(CCCC)CCCCCC)nc45)s3)sc2c(CCC(CCCC)CCCCCC)c2cc(C)sc12,
PDTT,1.59,CCCCCCCCC(CCCCCC)COc1c2sc3cc(-c4sc(C)c5sc(C(=O)CC(CC)CCCC)cc45)sc3c2c(OCC(CCCCCC)CCCCCCCC)c2sc3cc(C)sc3c12,
PBDT-BTCox,1.74,CCCCCCCCCCCCOc1c(C)sc(-c2sc(-c3cc4c(OCC(CC)CCCC)c5sc(C)cc5c(OCC(CC)CCCC)c4s3)c(OCCCCCCCCCCCC)c2C#N)c1C#N,
PBDT-ST1,1.81,CCCCCCCCc1ccc(-c2c3cc(-c4ccc(-c5sc(-c6ccc(C)s6)c6c5C(=O)c5c(C[C@H](CC)CCCC)sc(C[C@H](CC)CCCC)c5C6=O)s4)sc3c(-c3ccc(CCCCCCCC)s3)c3cc(C)sc23)s1,
BTI-BDT(2),1.93,CCCCCCCCCCCCOc1c2cc(-c3cc4c(=O)n(CC(CCCCCC)CCCCCCCC)c(=O)c5cc(C)sc5c4s3)sc2c(OCCCCCCCCCCCC)c2cc(C)sc12,
PDPPTT-2T,1.36,CCCCCCCCCCC(CCCCCCCC)CN1C(=O)C2=C(c3cc4sc(-c5ccc(C)s5)cc4s3)N(CC(CCCCCCCC)CCCCCCCCCC)C(=O)C2=C1c1ccc(C)s1,
PBDB-TT0,1.78,CCCCC(CC)Cc1ccc(-c2c3cc(-c4ccc(-c5sc(-c6ccc(C)s6)c6c5C(=O)c5c(CC(CC)CCCC)sc(CC(CC)CCCC)c5C6=O)s4)sc3c(-c3ccc(CC(CC)CCCC)s3)c3cc(C)sc23)s1,
PTZBIBDT,1.81,CCCCCCCCN1C(=O)c2c(c(-c3ccc(-c4cc5c(-c6ccc(CC(CC)CCCC)s6)c6sc(C)cc6c(-c6ccc(CC(CC)CCCC)s6)c5s4)s3)c3nn(CCCCCCCC)nc3c2-c2ccc(C)s2)C1=O,
PBDT-Se1,1.8,CCCCCCCCc1ccc(-c2c3cc(-c4ccc(-c5sc(-c6ccc(C)s6)c6c5C(=O)c5c(C[C@H](CC)CCCC)[se]c(C[C@H](CC)CCCC)c5C6=O)s4)sc3c(-c3ccc(CCCCCCCC)s3)c3cc(C)sc23)s1,
MBDT1,1.76,CCCCCCCCc1cc(-c2c(F)c(F)c(-c3cc(CCCCCCCC)c(-c4cc5c(OCC(CC)CCCC)c6sc(C)cc6c(OCC(CC)CCCC)c5s4)s3)c3nc4c(nc23)-c2cccc3cccc-4c23)sc1C,
PBnDT?PyCNTAZ,1.84,CCCCCCC(CCCC)CCc1c2cc(-c3ccc(-c4nc(C#N)c(-c5ccc(C)s5)c5nn(CC(CCCC)CCCCCC)nc45)s3)sc2c(CCC(CCCC)CCCCCC)c2cc(C)sc12,
PBnDT-FTAZ,2,CCCCCCC(CCCC)CCc1c2cc(-c3ccc(-c4c(F)c(F)c(-c5ccc(C)s5)c5nn(CC(CCCC)CCCCCC)nc45)s3)sc2c(CCC(CCCC)CCCCCC)c2cc(C)sc12,
P2,1.82,CCCCCCCCCCC(CCCCCCCC)CN1C(=O)c2c(-c3cc4sc(C)cc4s3)sc(-c3cc4sc(-c5cc6c(OCC(CC)CCCC)c7sc(C)cc7c(OCC(CC)CCCC)c6s5)cc4s3)c2C1=O,
PBDTT-BTAZT-2,1.62,CCCCC(CC)CC(=O)c1cc2c(-c3ccc(C)s3)c3nn(CC(CC)CCCC)nc3c(-c3ccc(-c4cc5c(-c6ccc(CC(CC)CCCC)s6)c6sc(C)cc6c(-c6ccc(CC(CC)CCCC)s6)c5s4)s3)c2s1,
PFTTPz,1.68,CCCCCCCCc1cc2c3cc(CCCCCCCC)sc3c3nc4c(-c5ccc(-c6ccc7c(c6)C(CCCCCCCC)(CCCCCCCC)c6cc(C)ccc6-7)s5)ccc(-c5ccc(C)s5)c4nc3c2s1,
PC-DTDPP,1.63,CCCCCCCCCCC(CCCCCCCCCC)n1c2cc(C)ccc2c2ccc(-c3ccc(C4=C5C(=O)N(CC(CC)CCCC)C(c6ccc(C)s6)=C5C(=O)N4CC(CC)CCCC)s3)cc21,
PBDTP-DTBT,1.7,CCCCC(CC)Cc1ccc(-c2c3cc(-c4sc(-c5ccc(-c6cc(CC(CC)CCCC)c(C)s6)c6nsnc56)cc4CC(CC)CCCC)sc3c(-c3ccc(CC(CC)CCCC)cc3)c3cc(C)sc23)cc1,
PNB-4,1.64,CCCCCCCCCCc1cc(-c2ccc(-c3cc(CCCCCCCCCC)c(-c4cc5c6cc(OCC(CC)CCCC)c(OCC(CC)CCCC)cc6c6cc(C)sc6c5s4)s3)c3nsnc23)sc1C,
PTIPSBDT-DFDTBTz,2,CCCCCCCCC(CCCCCCCC)n1nc2c(-c3ccc(C)s3)c(F)c(F)c(-c3ccc(-c4cc5c(C#C[Si](C(C)C)(C(C)C)C(C)C)c6sc(C)cc6c(C#C[Si](C(C)C)(C(C)C)C(C)C)c5s4)s3)c2n1,
Si4T-TPD,1.7,CCCCCCCCN1C(=O)c2c(C)sc(-c3cc4c(s3)-c3sc5c6c(sc5c3[Si]4(CCCCCCCC)CCCCCCCC)-c3sc(C)cc3[Si]6(CCCCCCCC)CCCCCCCC)c2C1=O,
PTIPSBDT-DTBTz,1.95,CCCCCCCCC(CCCCCCCC)n1nc2c(-c3ccc(C)s3)ccc(-c3ccc(-c4cc5c(C#C[Si](C(C)C)(C(C)C)C(C)C)c6sc(C)cc6c(C#C[Si](C(C)C)(C(C)C)C(C)C)c5s4)s3)c2n1,
PBT,1.57,CCCCCCCCCCC(CCCCCCCC)Cc1cc(-c2ccc(-c3cc(CC(CCCCCCCC)CCCCCCCCCC)c(-c4cc5sc6cc(C)sc6c5s4)s3)c3nsnc23)sc1C,
P2,1.77,CCCCCCCCCCOc1c(-c2sc(-c3cc4c(-c5ccc(SCC(CC)CCCC)s5)c5sc(C)cc5c(-c5ccc(SCC(CC)CCCC)s5)c4s3)c(C#N)c2OCCCCCCCCCC)sc(C)c1C#N,
PBDT(Se)-T1,1.8,CCCCC(CC)CSc1ccc(-c2c3cc(C)sc3c(-c3ccc(SC[C@@H](CC)CCCC)[se]3)c3cc(-c4ccc(-c5sc(-c6ccc(C)s6)c6c5C(=O)c5c(C[C@H](CC)CCCC)sc(C[C@H](CC)CCCC)c5C6=O)s4)sc23)[se]1,
PBDT-TDPP-S,1.73,CCCCC(CC)COc1c2cc(-c3cc(/C=C/c4ccc(-c5ccc(C6=C7C(=O)N(CC(CC)CCCC)C(c8cccs8)=C7C(=O)N6CC(CC)CCCC)s5)s4)c(C)s3)sc2c(OCC(CC)CCCC)c2cc(C)sc12,
PTT-ID1,1.55,CCCCCCCCCCC(CCCCCCCC)CN1C(=O)/C(=C2/C(=O)N(CC(CCCCCCCC)CCCCCCCCCC)c3cc(-c4cc5sc(C)cc5s4)ccc32)c2ccc(C)cc21,
PBDT(S)-T1,1.81,CCCCC(CC)CSc1ccc(-c2c3cc(C)sc3c(-c3ccc(SC[C@@H](CC)CCCC)s3)c3cc(-c4ccc(-c5sc(-c6ccc(C)s6)c6c5C(=O)c5c(C[C@H](CC)CCCC)sc(C[C@H](CC)CCCC)c5C6=O)s4)sc23)s1,
PBDTT-BTAZT-1,1.65,CCCCC(CC)COC(=O)c1cc2c(-c3ccc(C)s3)c3nn(CC(CC)CCCC)nc3c(-c3ccc(-c4cc5c(-c6ccc(CC(CC)CCCC)s6)c6sc(C)cc6c(-c6ccc(CC(CC)CCCC)s6)c5s4)s3)c2s1,
P1,1.64,CCCCCCCC1(CCCCCCC)COc2c(-c3ccc(C)c4nsnc34)sc(-c3ccc(-c4cc5c(-c6ccc(CC(CC)CCCC)[se]6)c6sc(C)cc6c(-c6ccc(CC(CC)CCCC)[se]6)c5s4)c4nsnc34)c2OC1,
PBDT(O)-T1,1.74,CCCCC(CC)CSc1ccc(-c2c3cc(C)sc3c(-c3ccc(SC[C@@H](CC)CCCC)o3)c3cc(-c4ccc(-c5sc(-c6ccc(C)s6)c6c5C(=O)c5c(C[C@H](CC)CCCC)sc(C[C@H](CC)CCCC)c5C6=O)s4)sc23)o1,
PFBT,1.56,CCCCCCCCCCC(CCCCCCCC)Cc1cc(-c2cc(F)c(-c3cc(CC(CCCCCCCC)CCCCCCCCCC)c(-c4cc5sc6cc(C)sc6c5s4)s3)c3nsnc23)sc1C,
PDTfBO-T,1.84,CCCCCCCCCCC(CCCCCCCC)Cc1cc(-c2cc3c4nonc4c4cc(-c5cc(CC(CCCCCCCC)CCCCCCCCCC)c(-c6ccc(C)s6)s5)sc4c3s2)sc1C,
CNTAZ,1.77,CCCCCCC(CCCC)CCc1c2cc(-c3ccc(-c4c(C#N)c(C#N)c(-c5ccc(C)s5)c5nn(CC(CCCC)CCCCCC)nc45)s3)sc2c(CCC(CCCC)CCCCCC)c2cc(C)sc12,
PCBTTPD,1.91,CCCCCCCCC(CCCCCC)CN1C(=O)c2c(-c3ccc(-c4ccc(C)s4)s3)sc(-c3ccc(-c4ccc(-c5ccc6c7ccc(C)cc7n(C(CCCCCCCC)CCCCCCCC)c6c5)s4)s3)c2C1=O,
PDFBT,1.59,CCCCCCCCCCC(CCCCCCCC)Cc1cc(-c2c(F)c(F)c(-c3cc(CC(CCCCCCCC)CCCCCCCCCC)c(-c4cc5sc6cc(C)sc6c5s4)s3)c3nsnc23)sc1C,
PffBT4T-2OD,1.65,CCCCCCCCCCC(CCCCCCCC)Cc1cc(-c2c(F)c(F)c(-c3cc(CC(CCCCCCCC)CCCCCCCCCC)c(-c4ccc(-c5ccc(C)s5)s4)s3)c3nsnc23)sc1C,
PThBDTP,1.86,CCCCCCCCCC[C@@H](CCCCCCCC)Cn1c(=O)c2cc(-c3cc4c(=O)n(C[C@@H](CCCCCCCC)CCCCCCCCCC)c5c(-c6ccc(C)s6)csc5c4s3)sc2c2sc(C)cc21,
PCzTTPz,1.66,CCCCCCCCc1cc2c3cc(CCCCCCCC)sc3c3nc4c(-c5ccc(-c6ccc7c8ccc(C)cc8n(C(CCCCCCCC)CCCCCCCC)c7c6)s5)ccc(-c5ccc(C)s5)c4nc3c2s1,
PBDTPBO,1.78,CCCCCCCCOc1c(OCCCCCCCC)c(-c2ccc(-c3cc4c(-c5ccc(CC(CC)CCCC)cc5)c5sc(C)cc5c(-c5ccc(CC(CC)CCCC)cc5)c4s3)s2)c2nonc2c1-c1ccc(C)s1,
PTT-DPP (P1),1.56,CCCCCCCCCCC(CCCCCCCC)CN1C(=O)C2=C(c3cc4sc(-c5ccc(C)s5)cc4s3)N(CC(CCCCCCCC)CCCCCCCCCC)C(=O)C2=C1c1cc2sc(C)cc2s1,
PBTz4T,1.65,CCCCCCCCCCC(CCCCCCCC)Cc1cc(-c2ccc(-c3cc(CC(CCCCCCCC)CCCCCCCCCC)c(-c4ccc(C)s4)s3)c3nsnc23)sc1-c1ccc(C)s1,
P(FBT-alt-Se2Th2),1.56,CCCCCCCCCCC(CCCCCCCC)Cc1cc(-c2cc(CC(CCCCCCCC)CCCCCCCCCC)c(-c3ccc(-c4c(F)c(F)c(C)c5nsnc45)[se]3)s2)sc1-c1ccc(C)[se]1,
PNC2C4BT6,2.01,CCCCCCOc1c(OCCCCCC)c(-c2ccc(-c3ccc4c(c3)C(CCCC)(CCCC)c3cc5c6cc7c(cc6n(CC)c5cc3-4)-c3ccc(C)cc3C7(CCCC)CCCC)s2)c2nsnc2c1-c1ccc(C)s1,
PS-BDTP (P2),1.8,CCCCCCCCCC[C@@H](CCCCCCCC)Cn1c(=O)c2cc(-c3cc4c(=O)n(C[C@@H](CCCCCCCC)CCCCCCCCCC)c5c(-c6ccc(C)[se]6)csc5c4s3)sc2c2sc(C)cc21,
PBnDT-FTAZ,2.02,CCCCCCC(CCCC)CCc1c2cc(-c3ccc(-c4c(F)c(F)c(-c5ccc(C)s5)c5nn(CCC(CCCC)CCCCCC)nc45)s3)sc2c(CCC(CCCC)CCCCCC)c2cc(C)sc12,
PBT-0F,1.61,CCCCCCCCC(CCCCCCCC)COC(=O)c1cc2c(-c3ccc(C)s3)sc(-c3ccc(-c4cc5c(-c6ccc(CC(CC)CCCC)s6)c6sc(C)cc6c(-c6ccc(CC(CC)CCCC)s6)c5s4)s3)c2s1,
PIDT-SO,2.27,CCCCCCc1ccc(C2(c3ccc(CCCCCC)cc3)c3cc4c(cc3-c3sc(C)cc32)C(c2ccc(CCCCCC)cc2)(c2ccc(CCCCCC)cc2)c2cc(-c3ccc5c(c3)S(=O)(=O)c3cc(C)ccc3-5)sc2-4)cc1,
PFTTQx,1.86,CCCCCCCCc1ccc(-c2nc3c(-c4ccc(C)s4)ccc(-c4ccc(-c5ccc6c(c5)C(CCCCCCCC)(CCCCCCCC)c5cc(C)ccc5-6)s4)c3nc2-c2ccc(CCCCCCCC)s2)s1,
PffBT4T-2OD,1.63,CCCCCCCCCCC(CCCCCCCC)Cc1cc(-c2ccc(-c3cc(CC(CCCCCCCC)CCCCCCCCCC)c(-c4cc(F)c(-c5sc(C)cc5F)s4)s3)c3nsnc23)sc1C,
PCPDTDTPBT,1.77,CCCCCCCCCCCCn1c2cc(C)sc2c2c3nsnc3c3c4sc(-c5cc6c(s5)-c5sc(C)cc5C6(CC(CC)CCCC)CC(CC)CCCC)cc4n(CCCCCCCCCCCC)c3c21,
PDEHTT,1.97,CCCCCCC(CCCC)COc1c2cc(C)sc2c(OC[C@H](CCCC)CCCCCC)c2cc(-c3cc(C[C@H](CC)CCCC)c(-c4nc5sc(-c6sc(C)cc6CC(CC)CCCC)nc5s4)s3)sc12,
PGeDTBT,1.57,CCCCCCCCCCC(CCCCCCCC)C[Ge]1(CC(CCCCCCCC)CCCCCCCCCC)c2cc(C)sc2-c2sc(-c3ccc(-c4ccc(-c5ccc(C)s5)c5nsnc45)s3)cc21,
PGeTFDTBT,1.56,CCCCCCCCCCC(CCCCCCCC)C[Ge]1(CC(CCCCCCCC)CCCCCCCCCC)c2cc(C)sc2-c2sc(-c3sc(-c4ccc(-c5sc(C)c(F)c5F)c5nsnc45)c(F)c3F)cc21,
PBDTPO-DTBT,1.62,CCCCCCCCOc1c(OCCCCCCCC)c(-c2ccc(-c3cc4c(-c5ccc(OCC(CC)CCCC)cc5)c5sc(C)cc5c(-c5ccc(OCC(CC)CCCC)cc5)c4s3)s2)c2nsnc2c1-c1ccc(C)s1,
PBDPTFPP,1.25,CCCCCCCCC(CCCCCCCC)n1c2cc3c4sc(-c5sc(C)c6c5C(=O)N(CC(CC)CCCC)C6=O)cc4n(C(CCCCCCCC)CCCCCCCC)c3cc2c2sc(C)cc21,
PCzTTQx,1.9,CCCCCCCCc1ccc(-c2nc3c(-c4ccc(C)s4)ccc(-c4ccc(-c5ccc6c7ccc(C)cc7n(C(CCCCCCCC)CCCCCCCC)c6c5)s4)c3nc2-c2ccc(CCCCCCCC)s2)s1,
