Nickname,Ref. No,PCE_max(%),PCE_ave(%),Voc (V),Jsc (mA cm^2),FF,Mw (kg mol^-1),Mn (kg mol^-1),PDI (=Mw/Mn),Monomer (g mol^-1),-HOMO (eV),-LUMO (eV),bandgap(eV),SMILES,c_smiles,no_atom,no_atom_w_H,mol_weight,aromatic_ring
P4TBT,S29,1.39,1.39,0.9,4.71,0.33,19.7,12.5 ,1.57 ,716,5.52,3.24,1.88,CC1=CC=C(C2=C(C3=CC=C(C[C@H](CCCC)CC)S3)C=C(C4=CC(C5=CC=C(CC(CCCC)CC)S5)=C(C)S4)S2)C6=NSN=C16,CCCCC(CC)Cc1ccc(-c2cc(-c3cc(-c4ccc(C[C@@H](CC)CCCC)s4)c(-c4ccc(C)c5nsnc45)s3)sc2C)s1,47,95,717.173000000002,6
PEBT,S383,0.53,0.53,0.57,2.33,0.4,5.1,4.4 ,1.16 ,556,5.3,3.65,1.77,CC1=CC(CCCCCCCCCCCC)=C(/C=C/C2=C(CCCCCCCCCCCC)C=C(C)S2)S1,CCCCCCCCCCCCc1cc(C)sc1/C=C/c1sc(C)cc1CCCCCCCCCCCC,38,98,557.0100000000018,2
PFTTz,S141,2.64,2.64,0.91,7.2,0.4,93.6,36.0 ,2.60 ,613,5.58,3.55,2.17,CC1=C2C(N=C(CCCCCCCC)S2)=C(C3=CC=C(C4=CC=C(C)C=C4C5(CCCCCC)CCCCCC)C5=C3)S1,CCCCCCCCc1nc2c(-c3ccc4c(c3)C(CCCCCC)(CCCCCC)c3cc(C)ccc3-4)sc(C)c2s1,43,98,614.0210000000025,4
P(PTQD-Th),S135,5.54,5.48,0.92,10.76,0.56,37.2,19.4 ,1.92 ,701,5.73,3.76,1.84,CC1=CC=C(S1)C(S2)=CC3=C2C(N=C(C(N(CC(CCCCCCCCCC)CCCCCCCC)C4=O)=O)C4=N5)=C5C6=C3C=C(C)S6,CCCCCCCCCCC(CCCCCCCC)CN1C(=O)c2nc3c(nc2C1=O)c1sc(-c2ccc(C)s2)cc1c1cc(C)sc13,48,99,702.068000000002,5
PBDTS-FBT,S498,1.42,1.42,0.8,6.65,0.303,9.3,8.9 ,1.05 ,840,5.49,3.46,1.73,CC1=CC2=C(C(C3=CC=C(SCC(CCCC)CC)S3)=C(C=C(C4=C(F)C(F)=C(C)C5=NSN=C54)S6)C6=C2C7=CC=C(SCC(CCCC)CC)S7)S1,CCCCC(CC)CSc1ccc(-c2c3cc(-c4c(F)c(F)c(C)c5nsnc45)sc3c(-c3ccc(SCC(CC)CCCC)s3)c3cc(C)sc23)s1,53,99,841.3090000000016,7
TQ1,S352,6.0,6.0,0.89,10.5,0.64,106.6,41.0 ,2.60 ,648,5.7,3.3,1.7,CC1=CC=C(C2=C(N=C(C3=CC(OCCCCCCCC)=CC=C3)C(C4=CC=CC(OCCCCCCCC)=C4)=N5)C5=C(C)C=C2)S1,CCCCCCCCOc1cccc(-c2nc3c(C)ccc(-c4ccc(C)s4)c3nc2-c2cccc(OCCCCCCCC)c2)c1,47,99,648.9570000000022,5
P(T-QX),S241,3.3,3.3,0.79,6.3,0.659,34.3,13.3 ,2.60 ,648,5.57,3.92,1.65,CC1=CC=C(C2=CC=C(C)C3=C2N=C(C4=CC=C(OCCCCCCCC)C=C4)C(C5=CC=C(OCCCCCCCC)C=C5)=N3)S1,CCCCCCCCOc1ccc(-c2nc3c(C)ccc(-c4ccc(C)s4)c3nc2-c2ccc(OCCCCCCCC)cc2)cc1,47,99,648.9570000000022,5
TQF2-1,S495,4.6,4.6,0.93,8.5,0.58,64.4,26.9 ,2.40 ,684,6.18,3.7,1.8,CC1=C(F)C(F)=C(C2=CC=C(C)S2)C3=C1N=C(C4=CC=CC(OCCCCCCCC)=C4)C(C5=CC(OCCCCCCCC)=CC=C5)=N3,CCCCCCCCOc1cccc(-c2nc3c(C)c(F)c(F)c(-c4ccc(C)s4)c3nc2-c2cccc(OCCCCCCCC)c2)c1,49,99,684.9370000000018,5
P1,S416,4.9,4.76,0.53,16.1,0.57,70.2,48.1 ,1.46 ,652,4.94,3.56,1.37,CC1=CC=C(C2=CC(CC(CCCC)CCCCCC)=C(C3=C(OCC(CCCCC)CCC)C=C(C)S3)S2)C4=NSN=C41,CCCCCCC(CCCC)Cc1cc(-c2ccc(C)c3nsnc23)sc1-c1sc(C)cc1OCC(CCC)CCCCC,44,100,653.0800000000021,4
PCz,S15,0.07,0.07,0.71,0.26,0.37,75.5,39.1 ,1.93 ,531,5.6,3.6,2.0,CC1=CC(N(CC(CCCCCCCCCCCC)CCCCCCCCCC)C2=C3C=CC(C)=C2)=C3C=C1,CCCCCCCCCCCCC(CCCCCCCCCC)Cn1c2cc(C)ccc2c2ccc(C)cc21,39,100,531.9130000000004,3
