Nickname,Ref. No,PCE_max(%),PCE_ave(%),Voc (V),Jsc (mA cm^2),FF,Mw (kg mol^-1),Mn (kg mol^-1),PDI (=Mw/Mn),Monomer (g mol^-1),-HOMO (eV),-LUMO (eV),bandgap(eV),SMILES,c_smiles,no_atom,no_atom_w_H,mol_weight,aromatic_ring
PBDTTT-EFT,S400,9.0,9.0,0.784,16.86,0.682,44.2,22.0 ,2.01 ,918,5.24,3.66,1.58,CC1=C2C(SC(C(OCC(CC)CCCC)=O)=C2F)=C(C3=CC4=C(C5=CC=C(CC(CCCC)CC)S5)C6=C(C=C(C)S6)C(C7=CC=C(CC(CC)CCCC)S7)=C4S3)S1,CCCCC(CC)COC(=O)c1sc2c(-c3cc4c(-c5ccc(CC(CC)CCCC)s5)c5sc(C)cc5c(-c5ccc(CC(CC)CCCC)s5)c4s3)sc(C)c2c1F,60,123,919.4630000000022,7
PTB1,S31,5.6,5.6,0.56,15.6,0.63,22.9,18.3 ,1.20 ,824,4.9,3.2,1.58,CC1=CC2=C(C(OCCCCCCCC)=C(C=C(C3=C4C(C=C(C(OCCCCCCCCCCCC)=O)S4)=C(C)S3)S5)C5=C2OCCCCCCCC)S1,CCCCCCCCCCCCOC(=O)c1cc2c(C)sc(-c3cc4c(OCCCCCCCC)c5sc(C)cc5c(OCCCCCCCC)c4s3)c2s1,55,123,825.3250000000025,5
PBDTTT-EFF,S400,5.28,5.28,0.693,11.77,0.648,10.5,5.7 ,1.85 ,886,5.19,3.64,1.55,CC1=C2C(SC(C(OCC(CC)CCCC)=O)=C2F)=C(C3=CC4=C(C5=CC=C(CC(CCCC)CC)O5)C6=C(C=C(C)S6)C(C7=CC=C(CC(CC)CCCC)O7)=C4S3)S1,CCCCC(CC)COC(=O)c1sc2c(-c3cc4c(-c5ccc(CC(CC)CCCC)o5)c5sc(C)cc5c(-c5ccc(CC(CC)CCCC)o5)c4s3)sc(C)c2c1F,60,123,887.3270000000024,7
PBDTTT-E-T,S187,6.21,6.21,0.68,14.59,0.626,71.4,21.0 ,3.40 ,900,5.09,3.22,1.58,O=C(OCC(CC)CCCC)C1=CC2=C(C)SC(C3=CC4=C(C5=CC=C(CC(CCCC)CC)S5)C(SC(C)=C6)=C6C(C7=CC=C(CC(CC)CCCC)S7)=C4S3)=C2S1,CCCCC(CC)COC(=O)c1cc2c(C)sc(-c3cc4c(-c5ccc(CC(CC)CCCC)s5)c5sc(C)cc5c(-c5ccc(CC(CC)CCCC)s5)c4s3)c2s1,59,123,901.4730000000022,7
PBDFDTBTz,S57,1.24,1.24,0.44,4.92,0.575,18.2,9.6 ,1.90 ,835,4.99,3.06,1.93,CC(O1)=CC2=C1C(OCC(CCCC)CC)=C(C=C(C3=CC=C(C4=CC=C(C5=CC=C(C)S5)C6=NN(CCCCCCCC)N=C64)S3)O7)C7=C2OCC(CCCC)CC,CCCCCCCCn1nc2c(-c3ccc(C)s3)ccc(-c3ccc(-c4cc5c(OCC(CC)CCCC)c6oc(C)cc6c(OCC(CC)CCCC)c5o4)s3)c2n1,59,124,836.2210000000024,7
TDPP-BBT,S85,2.78,2.78,0.74,6.72,0.56,19.0,11.6 ,1.64 ,884,5.15,3.69,1.43,CC(S1)=CC2=C1C(OCCCCCC)=C(C=C(C3=CC=C(C(N(CCCCCC)C4=O)=C5C4=C(C6=CC=C(C)S6)N(CCCCCC)C5=O)S3)S7)C7=C2OCCCCCC,CCCCCCOc1c2cc(-c3ccc(C4=C5C(=O)N(CCCCCC)C(c6ccc(C)s6)=C5C(=O)N4CCCCCC)s3)sc2c(OCCCCCC)c2cc(C)sc12,60,124,885.3400000000023,5
PBDTDTBTz,S61,1.7,1.7,0.61,4.5,0.62,18.6,9.3 ,2.00 ,867,5.06,3.11,1.95,CC(S1)=CC2=C1C(OCC(CCCC)CC)=C(C=C(C3=CC=C(C4=CC=C(C5=CC=C(C)S5)C6=NN(CCCCCCCC)N=C64)S3)S7)C7=C2OCC(CCCC)CC,CCCCCCCCn1nc2c(-c3ccc(C)s3)ccc(-c3ccc(-c4cc5c(OCC(CC)CCCC)c6sc(C)cc6c(OCC(CC)CCCC)c5s4)s3)c2n1,59,124,868.3570000000024,7
PBDTT-S-TT,S101,8.42,8.35,0.84,15.32,0.655,172.3,118.0 ,1.46 ,982,5.41,3.27,1.57,CC(S1)=CC2=C1C(C3=CC=C(SCC(CC)CCCC)S3)=C(C=C(C4=C5C(C(F)=C(C(OCC(CC)CCCC)=O)S5)=C(C)S4)S6)C6=C2C7=CC=C(SCC(CCCC)CC)S7,CCCCC(CC)COC(=O)c1sc2c(-c3cc4c(-c5ccc(SCC(CC)CCCC)s5)c5sc(C)cc5c(-c5ccc(SCC(CC)CCCC)s5)c4s3)sc(C)c2c1F,62,125,983.5970000000021,7
PTIPS-BDT-TT (P3),S199,4.11,4.11,0.79,9.47,0.55,18.7,11.0 ,1.70 ,890,5.6,3.89,1.71,CC1=CC2=C(C(C#C[Si](C(C)C)(C(C)C)C(C)C)=C(C=C(C3=C4C(C(F)=C(C(OCC(CCCC)CC)=O)S4)=C(C)S3)S5)C5=C2C#C[Si](C(C)C)(C(C)C)C(C)C)S1,CCCCC(CC)COC(=O)c1sc2c(-c3cc4c(C#C[Si](C(C)C)(C(C)C)C(C)C)c5sc(C)cc5c(C#C[Si](C(C)C)(C(C)C)C(C)C)c4s3)sc(C)c2c1F,58,125,891.5110000000025,5
N-P7,S350,5.5,5.5,0.99,9.72,0.574,39.5,16.6 ,2.38 ,862,5.37,3.42,1.95,CC1=CC=C(C2=CC=C(C3=CC=C(C4=CC(C(CCCCCCCC)(CCCCCCCC)C5=C6C=CC(C)=C5)=C6C=C4)S3)C7=C2N=C(C8=CC=CC=C8)C(C9=CC=CC=C9)=N7)S1,CCCCCCCCC1(CCCCCCCC)c2cc(C)ccc2-c2ccc(-c3ccc(-c4ccc(-c5ccc(C)s5)c5nc(-c6ccccc6)c(-c6ccccc6)nc45)s3)cc21,63,125,863.293000000002,8
PTB7-TV,S410,8.55,8.55,0.75,15.75,0.72,53.2,15.2 ,3.50 ,866,5.15,3.24,1.64,CC1=CC2=C(C(OCCCCCCCCCC=C)=C(C=C(C3=C4C(SC(C(OCC(CC)CCCC)=O)=C4F)=C(C)S3)S5)C5=C2OCCCCCCCCCC=C)S1,C=CCCCCCCCCCOc1c2cc(-c3sc(C)c4sc(C(=O)OCC(CC)CCCC)c(F)c34)sc2c(OCCCCCCCCCC=C)c2cc(C)sc12,58,125,867.3370000000023,5
PBDTT-O-TT,S101,7.1,7.01,0.73,15.17,0.644,118.6,78.0 ,1.52 ,950,5.18,3.15,1.53,CC(S1)=CC2=C1C(C3=CC=C(OCC(CC)CCCC)S3)=C(C=C(C4=C5C(C(F)=C(C(OCC(CC)CCCC)=O)S5)=C(C)S4)S6)C6=C2C7=CC=C(OCC(CCCC)CC)S7,CCCCC(CC)COC(=O)c1sc2c(-c3cc4c(-c5ccc(OCC(CC)CCCC)s5)c5sc(C)cc5c(-c5ccc(OCC(CC)CCCC)s5)c4s3)sc(C)c2c1F,62,125,951.4610000000022,7
PDPP2FT-C14,S89,6.5,6.2,0.65,14.8,0.64,92.0,58.0 ,1.59 ,771,5.2,3.8,1.4,CC1=CC=C(C2=CC=C(C(N(CCCCCCCCCCCCCC)C3=O)=C4C3=C(C5=CC=C(C)O5)N(CCCCCCCCCCCCCC)C4=O)O2)S1,CCCCCCCCCCCCCCN1C(=O)C2=C(c3ccc(-c4ccc(C)s4)o3)N(CCCCCCCCCCCCCC)C(=O)C2=C1c1ccc(C)o1,55,125,771.1650000000027,3
PBDT-TS1,S49,9.52,9.52,0.81,17.55,0.672,99.3,30.1 ,3.30 ,982,5.29,3.69,1.6,CC(S1)=CC2=C1C(C3=CC=C(SCCCCCCCC)S3)=C(C=C(C4=C5C(C(F)=C(C(OCC(CCCC)CC)=O)S5)=C(C)S4)S6)C6=C2C7=CC=C(SCCCCCCCC)S7,CCCCCCCCSc1ccc(-c2c3cc(-c4sc(C)c5c(F)c(C(=O)OCC(CC)CCCC)sc45)sc3c(-c3ccc(SCCCCCCCC)s3)c3cc(C)sc23)s1,62,125,983.597000000002,7
PTIPS-BDT-TT (P1),S199,5.76,5.76,0.82,12.75,0.55,20.9,11.0 ,1.90 ,872,5.6,3.91,1.69,CC1=CC2=C(C(C#C[Si](C(C)C)(C(C)C)C(C)C)=C(C=C(C3=C4C(C=C(C(OCC(CCCC)CC)=O)S4)=C(C)S3)S5)C5=C2C#C[Si](C(C)C)(C(C)C)C(C)C)S1,CCCCC(CC)COC(=O)c1cc2c(C)sc(-c3cc4c(C#C[Si](C(C)C)(C(C)C)C(C)C)c5sc(C)cc5c(C#C[Si](C(C)C)(C(C)C)C(C)C)c4s3)c2s1,57,125,873.5210000000025,5
PTTTPD-EG (P3),S134,2.09,1.99,0.76,4.91,0.56,20.0,11.0 ,1.80 ,851,5.31,3.54,1.8,CC1=C2C(C(N(COCCOC)C2=O)=O)=C(C3=C(CCCCCCCCCCCC)C=C(C4=CC=C(C5=CC(CCCCCCCCCCCC)=C(C)S5)S4)S3)S1,CCCCCCCCCCCCc1cc(-c2ccc(-c3cc(CCCCCCCCCCCC)c(-c4sc(C)c5c4C(=O)N(COCCOC)C5=O)s3)s2)sc1C,57,126,852.3510000000028,4
BDT-T6,S378,0.73,0.72,0.87,2.64,0.33,66.4,18.8 ,3.53 ,860,5.41,3.45,1.92,O=C1C2=C(CCCCCC)SC(CCCCCC)=C2C(C3=C(C)SC(C4=CC5=C(C(OCC(CCCC)CC)=C(C=C(C)S6)C6=C5OCC(CCCC)CC)S4)=C31)=O,CCCCCCc1sc(CCCCCC)c2c1C(=O)c1c(C)sc(-c3cc4c(OCC(CC)CCCC)c5sc(C)cc5c(OCC(CC)CCCC)c4s3)c1C2=O,58,126,861.3580000000024,5
DTS-C6,S378,4.12,4.06,0.9,8.96,0.51,29.4,19.5 ,1.51 ,826,5.33,3.52,1.63,CC1=CC([Si](CC(CCCC)CC)(CC(CCCC)CC)C2=C3SC(C4=C5C(C(C(C=C(CCCCCC)C(CCCCCC)=C6)=C6C5=O)=O)=C(C)S4)=C2)=C3S1,CCCCCCc1cc2c(cc1CCCCCC)C(=O)c1c(-c3cc4c(s3)-c3sc(C)cc3[Si]4(CC(CC)CCCC)CC(CC)CCCC)sc(C)c1C2=O,56,126,827.3950000000025,4
PPDT1,S136,3.28,3.28,0.87,8.3,0.453,89.3,49.6 ,1.80 ,847,5.27,2.68,2.0,CC1=CC(N(CC(CCCCCC)CCCC)C(C2=C3SC(C4=CC(C(OCC(CCCC)CC)=C(SC(C)=C5)C5=C6OCC(CCCC)CC)=C6S4)=C2)=O)=C3S1,CCCCCCC(CCCC)Cn1c(=O)c2cc(-c3cc4c(OCC(CC)CCCC)c5sc(C)cc5c(OCC(CC)CCCC)c4s3)sc2c2sc(C)cc21,57,126,848.3630000000026,6
PFDCN,S366,4.74,4.74,0.99,9.62,0.5,17.7,10.4 ,1.70 ,845,5.3,3.43,1.87,CC1=CC2=C(C(C=CC(C3=CC=C(N(C4=CC=C(/C=C\C5=CC=C(C=C(C#N)C#N)S5)C=C4)C6=CC=C(C)C=C6)C=C3)=C7)=C7C2(CCCCCCCC)CCCCCCCC)C=C1,CCCCCCCCC1(CCCCCCCC)c2cc(C)ccc2-c2ccc(-c3ccc(N(c4ccc(C)cc4)c4ccc(/C=C\c5ccc(C=C(C#N)C#N)s5)cc4)cc3)cc21,63,126,846.2410000000021,6
DTS-C6,S95,7.85,7.85,0.86,14.39,0.64,72.8,42.8 ,1.70 ,826,5.25,3.63,1.62,CC1=CC2=C(C(SC(C3=C4C(C(C(C=C(CCCCCC)C(CCCCCC)=C5)=C5C4=O)=O)=C(C)S3)=C6)=C6[Si]2(CC(CC)CCCC)C[C@@H](CC)CCCC)S1,CCCCCCc1cc2c(cc1CCCCCC)C(=O)c1c(-c3cc4c(s3)-c3sc(C)cc3[Si]4(CC(CC)CCCC)C[C@@H](CC)CCCC)sc(C)c1C2=O,56,126,827.3950000000025,4
PGFDTDPP (C4),S25,1.5,1.5,0.76,4.1,0.62,37.0,13.0 ,2.80 ,890,5.38,3.7,1.63,O=C1N(CCCCCCCC)C(C2=CC=C(C3=CC=C([Ge](CCCC)(CCCC)C4=C5C=CC(C)=C4)C5=C3)S2)=C6C1=C(C7=CC=C(C)S7)N(CCCCCCCC)C6=O,CCCCCCCCN1C(=O)C2=C(c3ccc(-c4ccc5c(c4)-c4ccc(C)cc4[Ge]5(CCCC)CCCC)s3)N(CCCCCCCC)C(=O)C2=C1c1ccc(C)s1,59,127,889.8720000000023,4
P2,S367,0.48,0.48,0.8,1.45,0.41,205.7,59.2 ,3.48 ,815,5.51,2.53,2.34,CC1=CC(/C=C/C2=CC=C(/C=C(C(OCCCCCCCC)=O)/C#N)S2)=C(C3=CC=C(C(C=CC(C)=C4)=C4C5(CCCCCCCC)CCCCCCCC)C5=C3)S1,CCCCCCCCOC(=O)/C(C#N)=C\c1ccc(/C=C/c2cc(C)sc2-c2ccc3c(c2)C(CCCCCCCC)(CCCCCCCC)c2cc(C)ccc2-3)s1,58,127,816.2740000000025,4
HXS-1,S144,5.4,5.4,0.81,9.8,0.69,51.4,16.6 ,3.10 ,861,5.21,3.35,1.95,CC1=CC=C(S1)C(C2=NSN=C23)=C(OCCCCCCCC)C(OCCCCCCCC)=C3C4=CC=C(C5=CC(N(CCCCCCCC)C6=CC(C)=CC=C67)=C7C=C5)S4,CCCCCCCCOc1c(OCCCCCCCC)c(-c2ccc(-c3ccc4c5ccc(C)cc5n(CCCCCCCC)c4c3)s2)c2nsnc2c1-c1ccc(C)s1,60,127,862.3280000000025,7
PDBPTBT-4,S401,4.1,4.1,0.75,9.42,0.58,85.3,62.9 ,1.36 ,860,5.32,3.5,1.82,CC1=CC2=C(C3=CC=C(C4=CC=C(C5=C(OCCCCCCCC)C=C(C6=CC=C(C)S6)C7=NSN=C75)S4)C=C3C(CCCCCCCC)(CCCCCCCC)O2)C=C1,CCCCCCCCOc1cc(-c2ccc(C)s2)c2nsnc2c1-c1ccc(-c2ccc3c(c2)C(CCCCCCCC)(CCCCCCCC)Oc2cc(C)ccc2-3)s1,60,128,861.3400000000023,6
BTI-BDT,S96,4.39,4.39,0.88,9.69,0.518,71.5,21.8 ,3.28 ,875,5.41,2.3,1.93,CC1=CC2=C(OCC(CCCC)CC)C(S3)=C(C(OCC(CCCC)CC)=C2S1)C=C3C4=CC(C(N(CC(CCCCCC)CCCC)C5=O)=O)=C(S4)C6=C5C=C(C)S6,CCCCCCC(CCCC)Cn1c(=O)c2cc(C)sc2c2sc(-c3cc4c(OCC(CC)CCCC)c5sc(C)cc5c(OCC(CC)CCCC)c4s3)cc2c1=O,59,128,876.3730000000024,6
PDBPTBT-5,S401,7.06,7.06,0.96,11.09,0.67,160.0,33.4 ,4.79 ,878,5.57,3.63,1.94,CC1=CC2=C(C3=CC=C(C4=CC=C(C5=C(OCCCCCCCC)C(F)=C(C6=CC=C(C)S6)C7=NSN=C75)S4)C=C3C(CCCCCCCC)(CCCCCCCC)O2)C=C1,CCCCCCCCOc1c(F)c(-c2ccc(C)s2)c2nsnc2c1-c1ccc(-c2ccc3c(c2)C(CCCCCCCC)(CCCCCCCC)Oc2cc(C)ccc2-3)s1,61,128,879.3300000000023,6
PCDTTPD,S145,1.82,1.82,1.07,4.72,0.36,24.0,13.0 ,1.80 ,860,5.71,3.74,2.05,CC1=C([H])C=C(C(S2)=C3C(C(N(CCCCCCCC)C3=O)=O)=C2C4=CC([H])=C(C5=CC(N(C(CCCCCCCC)CCCCCCCC)C6=CC(C)=CC=C67)=C7C=C5)S4)S1,CCCCCCCCC(CCCCCCCC)n1c2cc(C)ccc2c2ccc(-c3ccc(-c4sc(-c5ccc(C)s5)c5c4C(=O)N(CCCCCCCC)C5=O)s3)cc21,60,128,861.3400000000025,6
PDTSTTz,S354,5.59,5.59,0.77,11.9,0.61,13.8,8.7 ,1.59 ,918,5.06,2.81,1.81,CC1=CC(CCCCCC)=C(C2=NC(SC(C3=C(CCCCCC)C=C(C4=CC5=C(C(SC(C)=C6)=C6[Si]5(CC(CC)CCCC)CC(CC)CCCC)S4)S3)=N7)=C7S2)S1,CCCCCCc1cc(C)sc1-c1nc2sc(-c3sc(-c4cc5c(s4)-c4sc(C)cc4[Si]5(CC(CC)CCCC)CC(CC)CCCC)cc3CCCCCC)nc2s1,59,129,919.6120000000021,6
PCzTh-TVCN,S384,1.33,1.33,0.99,3.72,0.361,59.5,16.0 ,3.72 ,830,5.57,3.39,2.18,CC1=CC2=C(C(C=CC(C3=CC(/C=C/C4=CC=C(/C=C(C(OCCCCCCCC)=O)\C#N)S4)=C(C)S3)=C5)=C5N2C(CCCCCCCC)CCCCCCCC)C=C1,CCCCCCCCOC(=O)/C(C#N)=C/c1ccc(/C=C/c2cc(-c3ccc4c5ccc(C)cc5n(C(CCCCCCCC)CCCCCCCC)c4c3)sc2C)s1,59,129,831.2890000000026,5
PDTSTTz-4,S376,5.88,5.88,0.73,11.25,0.716,9.3,6.3 ,1.47 ,918,5.04,3.41,1.76,CC1=C(CCCCCC)C=C(S1)C2=NC3=C(N=C(C4=CC(CCCCCC)=C(C5=CC([Si](CC(CCCC)CC)(CC(CC)CCCC)C6=C7SC(C)=C6)=C7S5)S4)S3)S2,CCCCCCc1cc(-c2nc3sc(-c4cc(CCCCCC)c(-c5cc6c(s5)-c5sc(C)cc5[Si]6(CC(CC)CCCC)CC(CC)CCCC)s4)nc3s2)sc1C,59,129,919.6120000000024,6
PDTPTBT,S379,2.04,2.04,0.55,8.91,0.421,22.1,11.3 ,1.95 ,917,5.27,3.57,1.62,CC1=CC2=C(C(SC(C3=CC(CCCCCCCC)=C(C4=CC=C(C5=C(CCCCCCCC)C=C(C)S5)C6=NSN=C46)S3)=C7)=C7N2C8=CC=C(CCCCCCCC)C=C8)S1,CCCCCCCCc1ccc(-n2c3cc(C)sc3c3sc(-c4cc(CCCCCCCC)c(-c5ccc(-c6sc(C)cc6CCCCCCCC)c6nsnc56)s4)cc32)cc1,62,129,918.4860000000023,8
BDT-C6,S95,0.45,0.45,0.83,1.81,0.3,44.3,18.6 ,2.38 ,854,5.23,3.37,1.86,CC(S1)=CC2=C1C(OCC(CCCC)CC)=C(C=C(C3=C4C(C(C(C=C(CCCCCC)C(CCCCCC)=C5)=C5C4=O)=O)=C(C)S3)S6)C6=C2OCC(CCCC)CC,CCCCCCc1cc2c(cc1CCCCCC)C(=O)c1c(-c3cc4c(OCC(CC)CCCC)c5sc(C)cc5c(OCC(CC)CCCC)c4s3)sc(C)c1C2=O,59,129,855.3290000000027,5
PTTBDT-FTT,S193,7.71,7.39,0.77,14.7,0.68,61.5,25.0 ,2.46 ,1030,5.31,3.76,1.55,O=C(OCC(CC)CCCC)C1=C(F)C2=C(C3=CC4=C(C(C5=CC(SC(CC(CC)CCCC)=C6)=C6S5)=C(C=C(C)S7)C7=C4C8=CC(SC(CC(CCCC)CC)=C9)=C9S8)S3)SC(C)=C2S1,CCCCC(CC)COC(=O)c1sc2c(C)sc(-c3cc4c(-c5cc6sc(CC(CC)CCCC)cc6s5)c5sc(C)cc5c(-c5cc6sc(CC(CC)CCCC)cc6s5)c4s3)c2c1F,66,129,1031.6410000000021,9
BTSA5,S293,5.5,5.5,0.85,9.5,0.682,66.2,14.4 ,4.60 ,855,5.39,3.55,1.84,O=S(N(CC(CCCCCCCCCCCCCC)CCCCCCCCCCCCCC)C1=C2SC(C)=C1)(C3=C2SC(C4=CC=C(C5=CC=C(C)S5)S4)=C3)=O,CCCCCCCCCCCCCCC(CCCCCCCCCCCCCC)CN1c2cc(C)sc2-c2sc(-c3ccc(-c4ccc(C)s4)s3)cc2S1(=O)=O,56,129,856.4520000000028,4
PBTTPD,S131,4.7,4.7,0.95,8.02,0.62,13.6,9.7 ,1.40 ,793,5.56,3.1,1.82,CC1=C(CCCCCCCCCCCC)C=C(S1)C(S2)=CC(CCCCCCCCCCCC)=C2C3=C(C(N(CC(CC)CCCC)C4=O)=O)C4=C(C)S3,CCCCCCCCCCCCc1cc(-c2cc(CCCCCCCCCCCC)c(-c3sc(C)c4c3C(=O)N(CC(CC)CCCC)C4=O)s2)sc1C,54,129,794.3340000000029,3
PTN8,S238,3.35,3.35,0.97,8.28,0.417,44.1,20.3 ,2.17 ,930,5.6,3.81,1.79,CC(S1)=CC2=C1C(C3=CC=C(CC(CCCC)CC)S3)=C(C=C(C4=C5C(C(C(C=C(CCCCCCCC)C=C6)=C6C5=O)=O)=C(C)S4)S7)C7=C2C8=CC=C(CC(CC)CCCC)S8,CCCCCCCCc1ccc2c(c1)C(=O)c1c(C)sc(-c3cc4c(-c5ccc(CC(CC)CCCC)s5)c5sc(C)cc5c(-c5ccc(CC(CC)CCCC)s5)c4s3)c1C2=O,63,129,931.4770000000022,7
PDPP-BBT,S85,1.51,1.51,0.78,3.73,0.52,9.7,4.7 ,2.06 ,872,5.47,3.74,1.7,CC(S1)=CC2=C1C(OCCCCCC)=C(C=C(C3=CC=C(C(N(CCCCCC)C4=O)=C5C4=C(C6=CC=C(C)C=C6)N(CCCCCC)C5=O)C=C3)S7)C7=C2OCCCCCC,CCCCCCOc1c2cc(-c3ccc(C4=C5C(=O)N(CCCCCC)C(c6ccc(C)cc6)=C5C(=O)N4CCCCCC)cc3)sc2c(OCCCCCC)c2cc(C)sc12,62,130,873.2820000000025,5
PPDT2,S136,4.08,4.08,0.85,9.26,0.521,75.2,41.8 ,1.80 ,843,5.47,2.68,1.97,CC1=CC(N(CC(CCCCCC)CCCC)C(C2=C3SC(C4=CC(C(CCC(CCCC)CC)=C(SC(C)=C5)C5=C6CCC(CCCC)CC)=C6S4)=C2)=O)=C3S1,CCCCCCC(CCCC)Cn1c(=O)c2cc(-c3cc4c(CCC(CC)CCCC)c5sc(C)cc5c(CCC(CC)CCCC)c4s3)sc2c2sc(C)cc21,57,130,844.4190000000028,6
PPh-DTBTA,S348,1.39,1.39,0.55,4.5,0.561,18.3,8.7 ,2.11 ,812,5.2,3.33,1.87,CC(S1)=CC=C1C(C2=NN(CCCCCCCCCCCC)N=C23)=CC=C3C(S4)=CC=C4C5=C(OCCCCCCCC)C=C(C)C(OCCCCCCCC)=C5,CCCCCCCCCCCCn1nc2c(-c3ccc(C)s3)ccc(-c3ccc(-c4cc(OCCCCCCCC)c(C)cc4OCCCCCCCC)s3)c2n1,57,130,812.2870000000028,5
POF1,S299,1.22,1.22,0.79,5.17,0.3,85.2,19.0 ,4.40 ,974,4.84,3.67,1.63,FC(C=CC=C1)=C1/N=C/C(N2)=CC=C2C3=NC4=C(C)C=CC(C5=CC6=C(OCCCCCCCC)C(SC(C)=C7)=C7C(OCCCCCCCC)=C6S5)=C4N=C3C8=CC=C(/C=N/C9=C(F)C=CC=C9)N8,CCCCCCCCOc1c2cc(-c3ccc(C)c4nc(-c5ccc(/C=N/c6ccccc6F)[nH]5)c(-c5ccc(/C=N/c6ccccc6F)[nH]5)nc34)sc2c(OCCCCCCCC)c2cc(C)sc12,70,130,975.288000000002,9
POF2,S299,1.6,1.6,0.77,5.25,0.4,75.8,19.2 ,3.90 ,1010,4.78,3.62,1.63,FC(C=CC=C1F)=C1/N=C/C(N2)=CC=C2C3=NC4=C(C)C=CC(C5=CC6=C(OCCCCCCCC)C(SC(C)=C7)=C7C(OCCCCCCCC)=C6S5)=C4N=C3C8=CC=C(/C=N/C9=C(F)C=CC=C9F)N8,CCCCCCCCOc1c2cc(-c3ccc(C)c4nc(-c5ccc(/C=N/c6c(F)cccc6F)[nH]5)c(-c5ccc(/C=N/c6c(F)cccc6F)[nH]5)nc34)sc2c(OCCCCCCCC)c2cc(C)sc12,72,130,1011.2680000000017,9
PTP8,S237,6.18,6.18,0.96,11.0,0.585,26.1,12.5 ,2.08 ,945,5.59,3.62,1.78,CC(S1)=CC2=C1C(C3=CC=C(CC(CCCC)CC)S3)=C(C=C(C4=C5C(C(N(C6=CC=C(CCCCCCCC)C=C6)C5=O)=O)=C(C)S4)S7)C7=C2C8=CC=C(CC(CC)CCCC)S8,CCCCCCCCc1ccc(N2C(=O)c3c(C)sc(-c4cc5c(-c6ccc(CC(CC)CCCC)s6)c6sc(C)cc6c(-c6ccc(CC(CC)CCCC)s6)c5s4)c3C2=O)cc1,64,131,946.4920000000022,7
PBTF-OP,S431,9.0,8.9,0.86,16.4,0.622,134.6,64.3 ,2.09 ,938,5.45,3.34,1.62,CC1=CC2=C(C(C3=CC=CC(OCC(CC)CCCC)=C3)=C(C=C(C4=C5C(C(F)=C(C(OCC(CCCC)CC)=O)S5)=C(C)S4)S6)C6=C2C7=CC=CC(OCC(CC)CCCC)=C7)S1,CCCCC(CC)COC(=O)c1sc2c(-c3cc4c(-c5cccc(OCC(CC)CCCC)c5)c5sc(C)cc5c(-c5cccc(OCC(CC)CCCC)c5)c4s3)sc(C)c2c1F,64,131,939.4030000000024,7
PBDT-Tz-TPD (P1),S192,0.27,0.27,0.82,1.05,0.32,110.0,26.3 ,3.80 ,927,5.65,3.84,1.81,CC1=CC2=C(S1)C(C3=NC=C(CCCCCCCCCC)S3)=C4C(SC(C5=C(C(N(CCCCCCCC)C6=O)=O)C6=C(C)S5)=C4)=C2C7=NC=C(CCCCCCCCCC)S7,CCCCCCCCCCc1cnc(-c2c3cc(-c4sc(C)c5c4C(=O)N(CCCCCCCC)C5=O)sc3c(-c3ncc(CCCCCCCCCC)s3)c3cc(C)sc23)s1,62,131,928.4780000000023,6
PBdT-TTz,S390,3.4,3.4,0.9,5.5,0.687,17.2,11.3 ,1.52 ,946,5.19,2.9,1.91,CC1=C(CCCCCC)C=C(C(S2)=NC3=C2N=C(S3)C4=CC(CCCCCC)=C(C5=CC6=C(C(OCCCCCCCC)=C(OCCCCCCCC)C7=C6C=C(C)S7)S5)S4)S1,CCCCCCCCOc1c(OCCCCCCCC)c2sc(-c3sc(-c4nc5sc(-c6cc(CCCCCC)c(C)s6)nc5s4)cc3CCCCCC)cc2c2cc(C)sc12,62,132,947.5460000000022,7
H1,S37,0.23,0.23,0.6,1.54,0.26,40.4,20.2 ,2.00 ,866,4.78,3.15,1.63,CC(S1)=CC2=C1C(OCCCCCCCCCCCC)=C(C=C(C3=CC=C(C)C4=C3N=C(C5=CC=CC=C5)C(C6=CC=CC=C6)=N4)S7)C7=C2OCCCCCCCCCCCC,CCCCCCCCCCCCOc1c2cc(-c3ccc(C)c4nc(-c5ccccc5)c(-c5ccccc5)nc34)sc2c(OCCCCCCCCCCCC)c2cc(C)sc12,62,132,867.3220000000024,7
TPO(CO)(2EH/C11),S226,4.6,4.6,1.06,7.7,0.57,94.3,27.2 ,3.50 ,939,5.41,3.62,1.79,CC(S1)=CC2=C1C(C3=CC=C(CC(CC)CCCC)S3)=C(C=C(C4=C5C(C(N(C(CCCCCCCCCCC)=O)C5=O)=O)=C(C)S4)S6)C6=C2C7=CC=C(CC(CCCC)CC)S7,CCCCCCCCCCCC(=O)N1C(=O)c2c(C)sc(-c3cc4c(-c5ccc(CC(CC)CCCC)s5)c5sc(C)cc5c(-c5ccc(CC(CC)CCCC)s5)c4s3)c2C1=O,63,132,940.4850000000024,6
HMPQTN,S364,2.03,2.03,0.76,5.02,0.531,17.6,8.0 ,2.20 ,828,5.39,2.72,2.0,CC1=CC2=C(C(SC(C)=C3)=C3C(C4=C5C=C(CC(CCCCCCCC)CCCCCC)S4)=C2C6=C5C=C(CC(CCCCCC)CCCCCCCC)S6)S1,CCCCCCCCC(CCCCCC)Cc1cc2c3cc(CC(CCCCCC)CCCCCCCC)sc3c3c4cc(C)sc4c4sc(C)cc4c3c2s1,56,132,829.4480000000029,6
